brandName,brandNameKanaCandidate,displayNameCandidate,confidence,sourceCount,needsReview,note
ROLEX,ロレックス,ロレックス（ROLEX）,high,435,true,一般的な日本語表記 / 表記ゆれ疑い: ROLEX(コピー）
OMEGA,オメガ,オメガ（OMEGA）,high,418,false,一般的な日本語表記
SEIKO,セイコー,セイコー（SEIKO）,high,328,true,一般的な日本語表記 / 表記ゆれ疑い: SEIKO 懐中時計 / SEIKO 掛時計
GAGAMILANO,ガガミラノ,ガガミラノ（GAGAMILANO）,high,176,false,一般的な日本語表記
Tag Heuer,タグ・ホイヤー,タグ・ホイヤー（Tag Heuer）,high,119,true,一般的な日本語表記 / 表記ゆれ疑い: tag Heuer
CARTIER,カルティエ,カルティエ（CARTIER）,high,116,false,一般的な日本語表記
GUCCI,グッチ,グッチ（GUCCI）,high,74,false,一般的な日本語表記
BVLGARI,ブルガリ,ブルガリ（BVLGARI）,high,70,false,一般的な日本語表記
LONGINES,ロンジン,ロンジン（LONGINES）,high,69,false,一般的な日本語表記
CITIZEN,シチズン,シチズン（CITIZEN）,high,68,true,一般的な日本語表記 / 表記ゆれ疑い: CITIZEN 置時計
HERMES,エルメス,エルメス（HERMES）,high,68,false,一般的な日本語表記
CHANEL,シャネル,シャネル（CHANEL）,high,46,true,一般的な日本語表記 / 表記ゆれ疑い: CHANEL(コピー）
BREITLING,ブライトリング,ブライトリング（BREITLING）,high,40,true,一般的な日本語表記 / 表記ゆれ疑い: BREITLING(コピー）
TUDOR,チューダー,チューダー（TUDOR）,high,37,false,一般的な日本語表記
IWC,アイ・ダブリュー・シー,アイ・ダブリュー・シー（IWC）,high,35,false,一般的な日本語表記
chopard,ショパール,ショパール（chopard）,high,25,false,一般的な日本語表記
CASIO,カシオ,カシオ（CASIO）,high,24,false,一般的な日本語表記
FRANCK MULLER,フランク・ミュラー,フランク・ミュラー（FRANCK MULLER）,high,24,false,一般的な日本語表記
HAMILTON,ハミルトン,ハミルトン（HAMILTON）,high,23,false,一般的な日本語表記
AUDEMARS PIGUET,オーデマ・ピゲ,オーデマ・ピゲ（AUDEMARS PIGUET）,high,20,false,一般的な日本語表記
RADO,ラドー,ラドー（RADO）,high,18,false,一般的な日本語表記
Dior,ディオール,ディオール（Dior）,high,17,false,一般的な日本語表記
FENDI,フェンディ,フェンディ（FENDI）,high,17,false,一般的な日本語表記
HUBLOT,ウブロ,ウブロ（HUBLOT）,high,17,true,一般的な日本語表記 / 表記ゆれ疑い: HUBLOTタイプ
SKAGEN,スカーゲン,スカーゲン（SKAGEN）,high,16,false,一般的な日本語表記
Baume&Mercier,ボーム＆メルシエ,ボーム＆メルシエ（Baume&Mercier）,high,15,false,一般的な日本語表記
PATEK  PHILIPPE,パテック・フィリップ,パテック・フィリップ（PATEK  PHILIPPE）,high,11,true,一般的な日本語表記 / スペース違い疑い
VACHERON CONSTANTIN,ヴァシュロン・コンスタンタン,ヴァシュロン・コンスタンタン（VACHERON CONSTANTIN）,high,11,false,一般的な日本語表記
LOUIS VUITON,ルイ・ヴィトン,ルイ・ヴィトン（LOUIS VUITON）,low,10,true,スペルミス疑い: LOUIS VUITTON
BURBERRY,バーバリー,バーバリー（BURBERRY）,high,9,false,一般的な日本語表記
JAEGER  LECOULTRE,ジャガー・ルクルト,ジャガー・ルクルト（JAEGER  LECOULTRE）,high,9,true,一般的な日本語表記 / スペース違い疑い
PANERAI,パネライ,パネライ（PANERAI）,high,9,false,一般的な日本語表記
TIFFANY,ティファニー,ティファニー（TIFFANY）,high,8,false,一般的な日本語表記
TISSOT,ティソ,ティソ（TISSOT）,high,8,false,一般的な日本語表記
agnis b,アニエスベー,アニエスベー（agnis b）,low,7,true,スペル揺れ/スペルミス疑い: agnes b / 表記ゆれ疑い: agnis b 懐中時計
ALBA,アルバ,アルバ（ALBA）,high,7,false,一般的な日本語表記
BULOVA,,未確認（BULOVA）,unknown,7,true,読み方要確認
CHARRIOL,シャリオール,シャリオール（CHARRIOL）,medium,7,true,一般的な日本語表記候補。確認推奨
CORUM,,未確認（CORUM）,unknown,7,true,読み方要確認
LOCMAN,,未確認（LOCMAN）,unknown,7,true,読み方要確認
MARC JACOBS,,未確認（MARC JACOBS）,unknown,7,true,読み方要確認
ORIS,オリス,オリス（ORIS）,high,7,false,一般的な日本語表記
Rosemont,,未確認（Rosemont）,unknown,7,true,読み方要確認
WALTHAM,ウォルサム,ウォルサム（WALTHAM）,high,7,false,一般的な日本語表記
Yves Saint Laurent,イヴ・サンローラン,イヴ・サンローラン（Yves Saint Laurent）,high,7,false,一般的な日本語表記
BREGUET,,未確認（BREGUET）,unknown,6,true,読み方要確認
GRAHAM,,未確認（GRAHAM）,unknown,6,true,読み方要確認
JUNGHANS,,未確認（JUNGHANS）,unknown,6,true,読み方要確認
marie claire,,未確認（marie claire）,unknown,6,true,読み方要確認
mila schon,,未確認（mila schon）,unknown,6,true,読み方要確認
ORIENT,,未確認（ORIENT）,unknown,6,true,読み方要確認
PAUL SMITH,,未確認（PAUL SMITH）,unknown,6,true,読み方要確認
PIAGET,,未確認（PIAGET）,unknown,6,true,読み方要確認
christian dior,,未確認（christian dior）,unknown,5,true,読み方要確認
CYMA,,未確認（CYMA）,unknown,5,true,読み方要確認
DW,,未確認（DW）,unknown,5,true,読み方要確認
ebel,,未確認（ebel）,unknown,5,true,読み方要確認
G-SHOCK,,未確認（G-SHOCK）,unknown,5,true,読み方要確認 / 表記ゆれ疑い: GーSHOCK
JUVENIA,,未確認（JUVENIA）,unknown,5,true,読み方要確認
MOVADO,,未確認（MOVADO）,unknown,5,true,読み方要確認
RAYMOND WEIL,,未確認（RAYMOND WEIL）,unknown,5,true,読み方要確認
TECHNOS,,未確認（TECHNOS）,unknown,5,true,読み方要確認
UNIVERSAL,,未確認（UNIVERSAL）,unknown,5,true,読み方要確認
BUCHERER,,未確認（BUCHERER）,unknown,4,true,読み方要確認
Calvin Klein,,未確認（Calvin Klein）,unknown,4,true,読み方要確認
COACH,,未確認（COACH）,unknown,4,true,読み方要確認
DIESEL,,未確認（DIESEL）,unknown,4,true,読み方要確認
dunhill,,未確認（dunhill）,unknown,4,true,読み方要確認
FOSSIL,,未確認（FOSSIL）,unknown,4,true,読み方要確認
Frederique Constant,,未確認（Frederique Constant）,unknown,4,true,読み方要確認
GーSHOCK,,未確認（GーSHOCK）,unknown,4,true,読み方要確認 / 表記ゆれ疑い: G-SHOCK
GIRARD PERREGAUX,,未確認（GIRARD PERREGAUX）,unknown,4,true,読み方要確認
Heuer,,未確認（Heuer）,unknown,4,true,読み方要確認
JACOB ＆ CO,,未確認（JACOB ＆ CO）,unknown,4,true,読み方要確認
LUMINOX,,未確認（LUMINOX）,unknown,4,true,読み方要確認
NIKE,,未確認（NIKE）,unknown,4,true,読み方要確認
ROLEX(コピー）,ロレックス,ロレックス（ROLEX(コピー））,high,4,true,一般的な日本語表記 / 表記ゆれ疑い: ROLEX
TIFFANY&CO,,未確認（TIFFANY&CO）,unknown,4,true,読み方要確認
CARLO FERRARA,,未確認（CARLO FERRARA）,unknown,3,true,読み方要確認
CHANEL(コピー）,シャネル,シャネル（CHANEL(コピー））,high,3,true,一般的な日本語表記 / 表記ゆれ疑い: CHANEL
Charles Vogele,,未確認（Charles Vogele）,unknown,3,true,読み方要確認
Disney,,未確認（Disney）,unknown,3,true,読み方要確認
ETERNA,,未確認（ETERNA）,unknown,3,true,読み方要確認
ice watch,,未確認（ice watch）,unknown,3,true,読み方要確認
MICHEL KLEIN,,未確認（MICHEL KLEIN）,unknown,3,true,読み方要確認
PORSCHE DESIGN,,未確認（PORSCHE DESIGN）,unknown,3,true,読み方要確認
RICOH,,未確認（RICOH）,unknown,3,true,読み方要確認
SEIKO 懐中時計,セイコー,セイコー（SEIKO 懐中時計）,high,3,true,一般的な日本語表記 / 表記ゆれ疑い: SEIKO / SEIKO 掛時計
TIMEX,,未確認（TIMEX）,unknown,3,true,読み方要確認
VERSACE,,未確認（VERSACE）,unknown,3,true,読み方要確認
ZENITH,,未確認（ZENITH）,unknown,3,true,読み方要確認
AIGNER,,未確認（AIGNER）,unknown,2,true,読み方要確認
Baccarat,,未確認（Baccarat）,unknown,2,true,読み方要確認
